antecedents_str,consequents_str,support,confidence,lift,conviction,zhang,leverage,antecedents_len,consequents_len
hostile behavior,drug abuse,0.010721828125846104,0.5368763557483731,22.01264578509149,2.1065876481486248,0.9740235565588363,0.010234752277239677,1,1
drug abuse,hostile behavior,0.010721828125846104,0.43960923623445824,22.012645785091486,1.7488318950229205,0.9784350616272287,0.010234752277239677,1,1
hand or finger swelling,wrist swelling,0.010396924243244707,0.46087373979836777,19.238145010977526,1.810417755124409,0.9699000668498574,0.009856491460493975,1,1
wrist swelling,hand or finger swelling,0.010396924243244707,0.433996383363472,19.238145010977526,1.7269162452114308,0.9712883596122336,0.009856491460493975,1,1
wrist swelling,wrist pain,0.011718200032490389,0.48915009041591323,18.322788478114948,1.9052635866609224,0.968627841395564,0.011078657637156469,1,1
wrist pain,wrist swelling,0.011718200032490389,0.4389452332657201,18.322788478114948,1.7396586065993078,0.9713547006797866,0.011078657637156469,1,1
foreign body sensation in eye,spots or clouds in vision,0.01594195050630855,0.4598562949078413,14.374011845062805,1.7921301101306404,0.9638438090525159,0.014832869014088666,1,1
spots or clouds in vision,foreign body sensation in eye,0.01594195050630855,0.49830737982396744,14.374011845062803,1.9241517951524134,0.9611802740636931,0.014832869014088666,1,1
vaginal pain,vaginal discharge,0.012552119997833974,0.4991386735572782,13.98300043170852,1.9252911784591613,0.9524360334223413,0.011654449997812363,1,1
vaginal discharge,vaginal pain,0.012552119997833974,0.3516383495145631,13.98300043170852,1.5035627704950887,0.9628547566397333,0.011654449997812363,1,1
wrist swelling,hand or finger pain,0.010277792819624194,0.4290235081374322,13.455803540716644,1.6955445850832074,0.9484027957716656,0.009513974234689889,1,1
hand or finger pain,wrist swelling,0.010277792819624194,0.32235054347826086,13.455803540716644,1.4403372486015493,0.9561690233169985,0.009513974234689889,1,1
suprapubic pain,painful urination,0.010331943466724428,0.41586748038360943,13.454493273027532,1.6590256116396414,0.9492590808328943,0.00956402577134477,1,1
painful urination,suprapubic pain,0.010331943466724428,0.3342676944639103,13.454493273027532,1.4647864839984837,0.95519984015908,0.00956402577134477,1,1
wheezing,coryza,0.010905940325986895,0.4970384995064166,12.942484447807383,1.911868721826319,0.943435801453298,0.010063293740629437,1,1
knee swelling,knee pain,0.01386256565765961,0.512615138165799,12.75459951025035,1.9693048858967555,0.9472122128859726,0.012775697689244072,1,1
knee pain,knee swelling,0.01386256565765961,0.3449205066019941,12.75459951025035,1.4852505331700334,0.9601874298299559,0.012775697689244072,1,1
lacrimation,foreign body sensation in eye,0.014750636270103428,0.43907156673114117,12.665314937244586,1.7209552921053957,0.9530623955273061,0.013585988068049913,1,1
foreign body sensation in eye,lacrimation,0.014750636270103428,0.42549203373945643,12.665314937244586,1.6821436695287595,0.9541209498068985,0.013585988068049913,1,1
ankle pain,knee pain,0.010407754372664753,0.5052576235541535,12.571533999157307,1.940018553933728,0.9398143603546047,0.00957987176316281,1,1
itchiness of eye,lacrimation,0.013191097633616722,0.4162679425837321,12.390748058822986,1.6555625586447071,0.9493794692426627,0.01212650511902485,1,1
lacrimation,itchiness of eye,0.013191097633616722,0.39264990328820115,12.390748058822986,1.5943210457352228,0.9512519915896277,0.01212650511902485,1,1
